nom,secteur,email,formulaire_contact,adresse,code_postal,ville,telephone,site_web
La Fourchette des Arènes,Traiteur,contact@fourchette-des-arenes.com,,12 Rue de la République,30000,Nîmes,04 66 67 27 35,https://www.fourchette-des-arenes.com
Traiteur Montgrand,Traiteur,,https://traiteur-montgrand.fr,Rue Jules Vallès,30900,Nîmes,04 66 62 22 32,https://traiteur-montgrand.fr
Balland Traiteur,Traiteur,,https://www.balland-traiteur.fr,Route de Vauvert,30620,Bernis,04 66 71 02 19,https://www.balland-traiteur.fr
O Délices de Sam,Traiteur,,https://odelicesdesam-traiteurnimes.fr,Avenue Maréchal Juin,30900,Nîmes,06 51 95 67 89,https://odelicesdesam-traiteurnimes.fr
La Cigale Traiteur,Traiteur,,https://www.repaslacigale.fr/traiteur-nimes,Avenue Jean Jaurès,30000,Nîmes,04 66 23 30 30,https://www.repaslacigale.fr
Restaurant Michel Kayser (Alexandre),Restauration,contact@michelkayser.com,,2 Rue Xavier Tronc,30128,Garons,04 66 70 08 99,https://www.michelkayser.com
Restaurant Jérôme Nutile,Restauration,contact@jerome-nutile.com,,351 Rue de Beaucaire Mas Boudan,30000,Nîmes,04 66 40 65 65,https://www.jerome-nutile.com
Restaurant SKAB,Restauration,contact@restaurant-skab.fr,,7 Rue de la République,30000,Nîmes,04 66 21 94 30,https://www.restaurant-skab.fr
Restaurant Rouge,Restauration,,,5 Rue Augustes Hôtel Chouleur,30000,Nîmes,04 66 21 50 19,https://www.margaret-hotelchouleur.com
Restaurant Duende,Restauration,,,Quai de la Fontaine,30900,Nîmes,04 66 21 90 30,https://www.maison-albar-hotels-l-imperator.com
Restaurant Le M (Mas Merlet),Restauration,contact@le-m-nimes.fr,,Mas Merlet 343 Avenue Joseph Vernet,30900,Nîmes,04 66 06 07 63,https://le-m-nimes.fr
Restaurant Aux Plaisirs des Halles,Restauration,info@auxplaisirsdeshalles.com,,4 Rue Littré,30000,Nîmes,04 66 36 01 02,https://www.auxplaisirsdeshalles.com
Yacht Service Brokerage Y-S-B,Nautisme,,https://www.yachtservicebrokerage.com,Le Cormoran 5 Avenue Jean Laserre Port Camargue,30240,Le Grau-du-Roi,04 66 53 01 01,https://www.yachtservicebrokerage.com
APS Yachting,Nautisme,contact@aps-yachting.fr,,Le Grand Pavois 4 Avenue de l'Hermione Port Camargue,30240,Le Grau-du-Roi,04 66 51 60 16,https://www.aps-yachting.fr
Euronautic Port Camargue,Nautisme,info@euro-nautic.net,,Quai d'Honneur Port Camargue,30240,Le Grau-du-Roi,04 66 51 11 11,https://www.euro-nautic.net
Camargue et Yachting,Nautisme,,https://www.portcamargue.com/camargue-et-yachting.html,Quai d'Honneur Le Grand Pavois Port Camargue,30240,Le Grau-du-Roi,04 66 53 30 70,https://www.portcamargue.com
Sillage Nautisme,Nautisme,contact@sillage-nautisme.com,,Quai d'Honneur Port Camargue,30240,Le Grau-du-Roi,04 66 53 04 47,https://sillage-nautisme.com
YES Chantier Naval,Nautisme,contact@yes-portcamargue.com,,Port Camargue Zone Technique,30240,Le Grau-du-Roi,04 66 51 41 35,https://www.yes-portcamargue.com
Experience Yachts,Nautisme,,https://www.experienceyachts.fr,Quai d'Honneur Port Camargue,30240,Le Grau-du-Roi,04 66 88 58 11,https://www.experienceyachts.fr
Bertrand Marine,Nautisme,,https://bertrand-marine.com,Port Camargue,30240,Le Grau-du-Roi,04 66 53 36 38,https://bertrand-marine.com
Gallot Boats,Nautisme,,https://www.gallot-boats.fr/achat-de-bateaux,Port Camargue,30240,Le Grau-du-Roi,04 66 51 41 81,https://www.gallot-boats.fr
Rivage Port Camargue,Nautisme,,https://www.rivageportcamargue.com/contact,Port Camargue,30240,Le Grau-du-Roi,04 84 88 52 07,https://www.rivageportcamargue.com
Alma Nautic,Nautisme,,https://www.tourismegard.com,Route des Marines Zone Technique n°1,30240,Le Grau-du-Roi,06 11 24 95 14,
Marine et Compagnie,Nautisme,contact.marineetcompagnie@gmail.com,,16 Quai des Chantiers François Palumbo,34300,Agde,06 88 87 91 89,https://www.marineetcompagnie.com
Nouvelle Vague Constructions Navales,Nautisme,contact@constructions-navales.com,,ZA Les Cosses,34340,Marseillan,04 67 77 71 79,https://www.constructions-navales.com
Yachting Lodge Cap d'Agde,Nautisme,contact@yachtinglodge.com,,Quai des Chantiers,34300,Agde,04 67 26 65 30,https://yachtinglodge.com
Le Grand Large Jeanneau,Nautisme,location@jeanneau-capdagde.com,,Quai Saint-Martin Cap d'Agde,34300,Agde,04 67 26 11 11,https://www.jeanneau-capdagde.com
Ô BOAT Location Bateau,Nautisme,contact@location-bateaux-carnon.fr,,Carnon Port,34280,Mauguio,06 83 16 92 58,https://location-bateaux-carnon.fr
JLC Location Sète,Nautisme,,https://www.jlclocation34.com,Mole Saint-Louis Port de Sète,34200,Sète,06 89 64 26 80,https://www.jlclocation34.com
Bat'Ô Loc,Nautisme,contact@bat-o-loc.com,,Centre Port Cap d'Agde,34300,Agde,04 67 26 51 61,https://www.bat-o-loc.com
Filovent,Nautisme,contact@filovent.com,,Port La Grande Motte,34280,La Grande-Motte,02 97 39 03 32,https://www.filovent.com
Polyclinique Grand Sud,Santé privée,,https://www.elsan.care/fr/polyclinique-grand-sud,350 Avenue Saint-André de Codols,30900,Nîmes,04 66 70 98 73,https://www.elsan.care
Clinique des Franciscaines,Santé privée,,https://www.elsan.care,2 Boulevard Talabot,30000,Nîmes,04 66 04 71 71,https://www.elsan.care
Clinique Kennedy ELSAN,Santé privée,,https://www.elsan.care/fr/clinique-kennedy,82 Rue du Faubourg du Pradier,30900,Nîmes,04 66 02 71 71,https://www.elsan.care
Clinique Pietra,Santé privée,,https://www.cliniquepietra.fr,3 Place du Marché Esthétique,30000,Nîmes,04 66 23 24 25,https://www.cliniquepietra.fr
Cabinet Dr Philippe Lefebvre,Santé privée,contact@chirurgie-esthetique-nimes.fr,,1 Rue de l'Écluse,30000,Nîmes,04 66 36 11 26,https://www.chirurgie-esthetique-nimes.fr
Cabinet Dr Hénault Esthétique,Santé privée,,https://www.henault-chirurgie-esthetique.fr,Clinique 55,30900,Nîmes,04 66 23 11 11,https://www.henault-chirurgie-esthetique.fr
Centre Ophtalmologique Nîmes Vision,Santé privée,contact@nimes-vision.fr,,221 Rue Claude-Nicolas Ledoux Valmedica,30900,Nîmes,04 66 29 81 90,https://www.nimes-vision.fr
Centre Ophtalmologique Klarity OphtaNimes,Santé privée,,https://www.ophta-nimes.fr,3 Rue Crémieux,30000,Nîmes,04 66 67 12 12,
Cabinet Bastide Ophtalmologie,Santé privée,bastide.ophtalmologie@gmail.com,,Clinique Kennedy,30900,Nîmes,04 66 02 71 71,https://www.bastide-ophtalmologie.fr
Cabinet Dr Thomas Gaujoux,Santé privée,,https://www.gaujoux-ophtalmologue-nimes.fr,Centre Ophtalmologique,30000,Nîmes,04 66 76 26 25,https://www.gaujoux-ophtalmologue-nimes.fr
Clinadent Centre Dentaire Nîmes,Santé privée,contact@clinadent.fr,,64 Avenue Jean Jaurès,30900,Nîmes,04 66 28 25 69,https://clinadent.fr
Dentego Nîmes,Santé privée,contact.nimes@dentego.fr,,20 Boulevard Amiral Courbet,30000,Nîmes,04 30 31 82 39,https://dentego.fr
Cabinet Dentaire Chaudesaigues Natali,Santé privée,,https://dr-chaudesaigues-frederic.chirurgiens-dentistes.fr,36 Boulevard Gambetta,30000,Nîmes,04 66 67 04 04,https://dr-chaudesaigues-frederic.chirurgiens-dentistes.fr
Centre AMP Saint Roch Montpellier,Santé privée,,https://ivf-france.fr,560 Avenue du Colonel Pavelet,34000,Montpellier,04 67 04 38 55,https://ivf-france.fr
Inovie Fertilité,Santé privée,,https://inovie-fertilite.fr/contact-fiv-pma-ovulation-grossesse/,560 Avenue du Colonel Pavelet,34000,Montpellier,04 67 04 38 55,https://inovie-fertilite.fr
Clinique de la Vision Montpellier,Santé privée,,https://cliniquedelavision-montpellier.fr,Rue de la Croix Verte Parc Euromédecine,34090,Montpellier,04 99 23 25 25,https://cliniquedelavision-montpellier.fr
Montpellier Centre Ophtalmologie,Santé privée,,https://rdvcentreophtalmologie.fr/vos-cabinets/montpellier,1-10 Place Paul Bec Quartier Antigone,34000,Montpellier,04 11 93 11 00,https://rdvcentreophtalmologie.fr
Vedas Ophtalmologie,Santé privée,secretariat@vedas-ophtalmologie.fr,,1 Bd Paul Valéry,34430,Saint-Jean-de-Védas,04 67 47 78 78,https://vedas-ophtalmologie.fr
CILM Centre Iléo Laser Montpellier,Santé privée,,https://www.cilm.vision,Clinique Beausoleil,34000,Montpellier,04 67 03 17 17,https://www.cilm.vision
Cabinet Aixel Vision,Santé privée,,https://aixelvision.com,Clinique Saint Roch,34000,Montpellier,04 99 53 81 81,https://aixelvision.com
Cabinet Dentaire Drs Benazech Gibrila,Santé privée,,https://www.montpellier-chirurgie-plastique-esthetique.com,266 Place Ernest Granier,34000,Montpellier,04 67 29 83 32,https://www.montpellier-chirurgie-plastique-esthetique.com
Cabinet EMS Avocats,Avocats,contact@ems-avocats.fr,,28 Boulevard Victor Hugo,30000,Nîmes,04 66 67 31 80,https://ems-avocats.fr
In Extenso Avocats Nîmes,Avocats,contact@inextenso-avocats.fr,,Parc Georges Besse,30900,Nîmes,04 66 87 80 25,https://www.inextenso-avocats.com
Eleom Avocats Nîmes,Avocats,nimes@eleom-avocats.com,,Centre-ville,30000,Nîmes,04 66 04 07 60,https://eleom-avocats.com
Cabinet Maître Fanny Rivière,Avocats,,https://fanny-riviere-avocat.fr,Centre-ville,30000,Nîmes,06 46 47 18 34,https://fanny-riviere-avocat.fr
Cabinet Baudard & Desruelles,Avocats,baudard.melanie@gmail.com,,2 Place David d'Angers,34500,Béziers,04 67 49 58 27,https://www.baudard-desruelles-avocat-beziers.com
Maître Corinne Mommas,Avocats,contact@mommas-avocat.com,,8 Rue Francisque Sarcey,34500,Béziers,04 67 28 73 60,https://www.mommas-avocat.com
Cabinet Chapuis Béziers,Avocats,maitrechapuis@gmail.com,,3 Allées Paul Riquet,34500,Béziers,04 67 80 12 16,https://www.chapuis-avocat-beziers.fr
VAA Avocats,Avocats,contact@vaa-avocats.com,,2 Rue Maximilien Sully Résidence l'Émergence,34500,Béziers,04 67 28 14 47,https://www.vaa-avocats.com
Cabinet TABET,Avocats,,https://jftabet-avocat-beziers.fr,Centre-ville,34500,Béziers,06 46 43 58 48,https://jftabet-avocat-beziers.fr
Cabinet ARCF Expert Comptable,Expert-comptable,contact@cabinet-arcf.com,,180 Rue Guy Arnaud,30900,Nîmes,04 66 23 63 53,http://cabinet-arcf.com
DG Compta,Expert-comptable,,https://dgcompta.fr,15 Rue Rabaut Saint Etienne,30900,Nîmes,04 66 67 73 70,https://dgcompta.fr
Cabinet Fontanes,Expert-comptable,,https://cabinetfontanes.fr,Nîmes,30000,Nîmes,04 66 76 35 89,https://cabinetfontanes.fr
Cabinet MS Conseil,Expert-comptable,,https://www.cabinetmsconseil.fr,Nîmes,30000,Nîmes,04 66 64 19 26,https://www.cabinetmsconseil.fr
Nim Expert Conseil,Expert-comptable,,https://www.groupeliron.com,Nîmes,30000,Nîmes,04 66 04 31 50,https://www.groupeliron.com
Axiome Secma Nîmes,Expert-comptable,,https://axiomeassocies.fr/nos-cabinets/axiome-secma/,Nîmes,30000,Nîmes,04 66 04 76 50,https://axiomeassocies.fr
SECAB Bagnols-sur-Cèze,Expert-comptable,,https://secab.com/expert-comptable-bagnols-sur-ceze/,Bagnols-sur-Cèze,30200,Bagnols-sur-Cèze,04 66 90 26 50,https://secab.com
AXE Expertise Bagnols,Expert-comptable,,https://www.compteo.fr/expert-comptable/axeexpertisebagnols-10922,Chemin du Bosquet 52 Route d'Avignon,30200,Bagnols-sur-Cèze,04 66 89 71 89,
Nîmes Publicité,Agence com,contact@nimes-publicite.fr,,Nîmes,30000,Nîmes,06 79 35 28 58,https://nimes-publicite.fr
Illunimes,Agence com,contact@illunimes.com,,Nîmes,30000,Nîmes,06 25 04 56 78,https://illunimes.com
Step'com,Agence com,,https://www.stepcom.fr,Nîmes,30000,Nîmes,04 66 63 98 57,https://www.stepcom.fr
Com des Amis,Agence com,contact@comdesamis.fr,,Nîmes,30000,Nîmes,07 43 52 97 97,https://comdesamis.fr
Ashaé Communication,Agence com,,https://www.gard-communication.fr,Nîmes,30000,Nîmes,04 66 40 01 15,https://www.gard-communication.fr
Espaces Atypiques Nîmes-Uzès,Immobilier,eleonore.brunel@espaces-atypiques.com,,Nîmes - Uzès,30000,Nîmes,06 66 23 78 64,https://www.espaces-atypiques.com
Uzès Sotheby's International Realty,Immobilier,,https://www.uzes-sothebysrealty.com/en/contact,Place aux Herbes,30700,Uzès,04 66 03 28 73,https://www.uzes-sothebysrealty.com
Corinne Ponce Immobilier,Immobilier,agence@corinneponce.com,,Nîmes,30000,Nîmes,04 66 21 58 00,https://www.corinneponce-immobilier.com
Montaury Immobilier,Immobilier,contact@montaury-immobilier.com,,Nîmes,30000,Nîmes,04 66 04 29 60,https://www.montaury-immobilier.com
Nîmes Immobilier,Immobilier,nimes-immobilier@orange.fr,,Nîmes,30000,Nîmes,04 66 67 11 50,https://www.nimesimmo.fr
Architecte KVA,Architecte,kvanimes@numericable.fr,,866 Avenue du Maréchal Juin,30900,Nîmes,04 66 27 61 56,http://www.architectes-kva-nimes.com
HG.A Houny Architecture Nîmes,Architecte,,,Nîmes,30000,Nîmes,04 66 53 64 80,https://www.houny-architecture.fr
Signature Design 3D,Architecte,,https://www.signaturedesign3d.fr,Nîmes,30000,Nîmes,06 18 12 93 15,https://www.signaturedesign3d.fr
PCH Architecture Pascale Chaumont,Architecte,,https://www.pascale-chaumont-architecte.com,Nîmes,30000,Nîmes,04 67 22 45 77,https://www.pascale-chaumont-architecte.com
Carré d'Archi,Architecte,,https://www.carredarchi.fr,Nîmes,30000,Nîmes,04 66 27 28 28,https://www.carredarchi.fr
Distillerie des Camisards,Distillerie,contact@ddcmail.fr,,Plaine de l'Habitarelle,30110,Les Salles-du-Gardon,06 07 54 46 80,https://www.distilleriedescamisards.fr
Distillerie des Cévennes,Distillerie,support@distilleriedescevennes.com,,Les Bois de la Garrigue,34150,Montpeyroux,04 67 58 60 51,https://www.distilleriedescevennes.com
Brasserie Étienne (La Gervoise),Brasserie artisanale,contact@brasserie-etienne.com,,11 Impasse Le Peyron,30200,Saint-Gervais,06 62 88 03 71,https://brasserie-etienne.com
Brasserie Borgne,Brasserie artisanale,,https://hophophop.com/brasserie-artisanale/occitanie/gard/saint-jean-du-gard/brasserie-borgne,Les Fournels,30270,Saint-Jean-du-Gard,06 61 15 14 34,
Brasserie des Garrigues,Brasserie artisanale,,https://brasseriedesgarrigues.fr/points-de-vente-gard-herault/,Sommières,30250,Sommières,04 66 90 27 03,https://brasseriedesgarrigues.fr
Moulin de Villevieille,Coopérative oléicole,moulindevillevieille@wanadoo.fr,,154 Avenue des Cévennes,30250,Villevieille,04 66 80 03 69,https://moulindevillevieille.com
Moulin des Olivettes,Coopérative oléicole,,https://olivierdeprovence.com/dep-030/,Route de Nîmes,30270,Saint-Jean-du-Gard,04 66 85 31 87,
Moulin à Huile Paradis,Coopérative oléicole,,,Domaine Moulin de Portal,30360,Martignargues,04 66 83 24 52,
Moulin Campani,Coopérative oléicole,,,165 Chemin de la Filature,30500,Saint-Ambroix,04 66 24 18 59,
Moulin Cante Perdrix,Coopérative oléicole,,,1 Chemin du Sablas,30210,Saint-Bonnet-du-Gard,04 66 37 34 89,
Inova Technologies,EnR,,https://www.inovatechnologies.fr,Nîmes,30000,Nîmes,04 26 85 08 30,https://www.inovatechnologies.fr
O2 Toit Gard,EnR,,https://o2toit.fr/nos-agences/gard/,Nîmes,30000,Nîmes,0800 222 202,https://o2toit.fr
Eco-Reno Photovoltaïque,EnR,contact@ecoreno.pro,,31 Rue André Thome,30200,Bagnols-sur-Cèze,04 66 79 91 82,https://www.ecoreno.pro
Acéa Énergies,EnR,,https://www.acea-energies.com,Nîmes,30000,Nîmes,04 88 80 13 90,https://www.acea-energies.com
A2E Solaire Béziers,EnR,,https://pv-solaire-energie.com/installateur-panneau-photovoltaique-agree-rge/a2e/,1580 Route de Narbonne D'609,34500,Béziers,09 55 10 92 78,https://pv-solaire-energie.com
EEG Pézenas,EnR,,https://www.eeg34.com,Pézenas,34120,Pézenas,04 23 11 01 87,https://www.eeg34.com
Elit NRJ,EnR,,https://www.elitnrj.fr,Lunel,34400,Lunel,04 67 89 14 14,https://www.elitnrj.fr
Bati Plus Nîmes,BTP,contact@batiplus-batiment.com,,Nîmes,30000,Nîmes,04 66 24 23 23,https://www.batiplus-batiment.com
Roche Méca,Industrie,contact@roche-meca.fr,,82 Route de Beaucaire,30000,Nîmes,04 66 76 06 50,https://www.roche-meca.fr
SMS Ingénierie,Industrie,commercial@sms-ingenierie.fr,,48 Rue Louis Lumière ZI Saint Césaire,30900,Nîmes,09 54 60 64 72,https://www.sms-ingenierie.fr
Journet Mécanique,Industrie,,,1295 Avenue du Maréchal Juin,30900,Nîmes,04 66 84 31 14,
Ciffréo Bona Nîmes,BTP,,https://www.ciffreobona.fr,Avenue Eugène Pelletan,30900,Nîmes,04 66 38 65 65,https://www.ciffreobona.fr
Batimat Distribution Alès,BTP,contact@batimatdistribution.com,,Route de Nîmes,30100,Alès,04 66 30 50 67,https://www.batimatdistribution.com
Union Matériaux Nîmes,BTP,,https://www.union-materiaux.fr,Nîmes,30900,Nîmes,04 66 84 60 60,https://www.union-materiaux.fr
SAMSE Gard,BTP,,https://www.samse.fr,Nîmes,30900,Nîmes,04 66 84 23 23,https://www.samse.fr
Ferrini BTP Nîmes,BTP,,https://www.ferrinibtp.com/nimes,Nîmes,30000,Nîmes,04 66 38 03 03,https://www.ferrinibtp.com
NG Patrimoine,Banque privée / Family office,,https://www.ng-patrimoine.com,Nîmes,30000,Nîmes,04 66 23 90 22,https://www.ng-patrimoine.com
BM Gestion Privée,Banque privée / Family office,contact@bmgestionprivee.fr,,Montpellier,34000,Montpellier,04 67 75 87 33,https://www.bmgestionprivee.fr
Delta B Family Office,Banque privée / Family office,,https://www.experts-du-patrimoine.fr/societes/delta-b-family-office/,472 Rue Marius Petipa,34080,Montpellier,04 67 03 65 65,
Louvre Banque Privée Nîmes,Banque privée / Family office,,https://www.louvrebanqueprivee.fr/banque-privee/public/web/c_11837/espace-louvre-banque-privee-nimes,Nîmes,30000,Nîmes,04 66 23 80 80,https://www.louvrebanqueprivee.fr
Milleis Banque Privée Montpellier,Banque privée / Family office,,https://www.milleis.fr/montpellier,Montpellier,34000,Montpellier,04 67 04 70 70,https://www.milleis.fr
Gresham Banque Privée,Banque privée / Family office,,https://www.gresham-banque-privee.fr,Montpellier,34000,Montpellier,04 67 64 35 35,https://www.gresham-banque-privee.fr
Navas Patrimoine,Banque privée / Family office,,https://www.navaspatrimoine.com,Saint-Jean-de-Védas,34430,Saint-Jean-de-Védas,04 67 41 80 80,https://www.navaspatrimoine.com
Patrimoine 1.618,Banque privée / Family office,,https://www.patrimoine-1618.fr,Montpellier,34000,Montpellier,04 99 13 89 50,https://www.patrimoine-1618.fr
Vousfinancer Nîmes,Courtage crédit,nimes@vousfinancer.com,,Nîmes,30000,Nîmes,04 66 02 02 02,https://courtier.vousfinancer.com
Cafpi Nîmes,Courtage crédit,,https://www.cafpi.fr,Nîmes,30000,Nîmes,04 66 21 50 80,https://www.cafpi.fr
Meilleurtaux Nîmes,Courtage crédit,,https://www.meilleurtaux.com,Nîmes,30000,Nîmes,04 66 36 32 32,https://www.meilleurtaux.com
Cabinet Acrédit Gard,Courtage crédit,,https://www.acredit-courtage.fr,Nîmes,30000,Nîmes,04 66 23 80 90,https://www.acredit-courtage.fr
Empruntis Nîmes,Courtage crédit,,https://www.empruntis-agence.com,Nîmes,30000,Nîmes,04 66 67 89 89,https://www.empruntis-agence.com
April Assurance Nîmes,Courtage assurance,,https://www.april.fr,Nîmes,30000,Nîmes,04 66 27 31 00,https://www.april.fr
Cabinet Souriau Assurances Nîmes,Courtage assurance,,https://www.pagesjaunes.fr,Nîmes,30000,Nîmes,04 66 67 20 50,
